batt_in_kWh,batt_out_kWh,diesel_kWh,diesel_on,pv_kWh,load_kWh,curtail_kWh,soc_kWh,soc_pct
0.0,0.0,0.0,0.0,0.0,1.9749607273768328,0.0,12.5,50.0
0.0,1.9749607273768328,0.0,0.0,0.0,1.9749607273768328,0.0,10.42109397118228,41.68437588472912
0.0,2.0168341160755503,0.0,0.0,0.0,2.0168341160755503,0.0,8.298110691102753,33.19244276441101
0.0,1.966059898675246,0.0,0.0,0.0,1.966059898675246,0.0,6.228573955655126,24.914295822620502
0.0,1.2285739556551256,0.9444450400513587,1.0,0.0,2.1730189957064843,0.0,4.935338212860256,19.741352851441025
0.0,-0.06466178713974369,2.5551868156725437,1.0,0.0,2.4905250285328,0.0,5.003403251954723,20.013613007818893
0.0,0.003403251954723352,3.0142502576054975,1.0,0.0,3.017653509560221,0.0,4.999820881476067,19.999283525904268
0.0,-0.00017911852393304173,3.8081165882899306,1.0,0.0,3.8079374697659976,0.0,5.000009427290733,20.00003770916293
0.0,9.427290732944016e-06,4.572987215064438,1.0,0.0,4.572996642355171,0.0,4.999999503826803,19.999998015307213
0.0,-4.961731967512151e-07,4.932752963641996,1.0,0.0,4.9327524674687995,0.0,5.000000026114379,20.000000104457516
0.0,2.611437910360337e-08,2.2475858018423445,1.0,2.355640707761581,4.603226535718305,0.0,4.999999998625559,19.999999994502236
0.41618943616438075,0.0,0.0,0.0,4.292298503015766,3.876109066851385,0.0,5.39537996298172,21.58151985192688
0.0,0.39537996298172023,0.5363943075570083,1.0,2.1793101919330113,3.11108446247174,0.0,4.97919052826412,19.91676211305648
3.2972980411968433,0.0,0.0,0.0,6.017396632916957,2.7200985917201135,0.0,8.11162366740112,32.44649466960448
3.0933506206913024,0.0,0.0,0.0,5.634064389791964,2.540713769100661,0.0,11.050306757057857,44.20122702823143
1.3314618355134868,0.0,0.0,0.0,4.252573917662208,2.9211120821487215,0.0,12.315195500795669,49.260782003182676
0.0,0.8831048021993664,0.0,0.0,2.371239306527718,3.2543441087270844,0.0,11.385611498480547,45.542445993922186
0.0,3.586139379064217,0.0,0.0,0.0,3.586139379064217,0.0,7.610727941570844,30.442911766283377
0.0,2.610727941570844,1.2218231150482608,1.0,0.0,3.832551056619105,0.0,4.862593266233113,19.450373064932453
0.0,-0.13740673376688672,4.199874945810959,1.0,0.0,4.062468212044072,0.0,5.007231933356152,20.02892773342461
0.0,0.0072319333561523536,3.8696831162690604,1.0,0.0,3.8769150496252127,0.0,4.999619371928624,19.998477487714496
0.0,-0.0003806280713760657,3.600854534627709,1.0,0.0,3.600473906556333,0.0,5.000020033056388,20.000080132225552
0.0,2.0033056387980253e-05,3.2322218869157515,1.0,0.0,3.2322419199721395,0.0,4.999998945628612,19.999995782514446
0.0,-1.0543713884203498e-06,2.776565690165375,1.0,0.0,2.7765646357939864,0.0,5.000000055493231,20.000000221972925
0.0,5.549323134346196e-08,2.484595333111929,1.0,0.0,2.48459538860516,0.0,4.999999997079303,19.999999988317214
0.0,-2.9206965734829282e-09,2.0442722663653825,1.0,0.0,2.044272263444686,0.0,5.000000000153721,20.000000000614882
