timestamp,load
2021-01-30 00:00:00,1974.960727376833
2021-01-30 01:00:00,2016.8341160755504
2021-01-30 02:00:00,1966.059898675246
2021-01-30 03:00:00,2173.0189957064845
2021-01-30 04:00:00,2490.5250285327998
2021-01-30 05:00:00,3017.6535095602208
2021-01-30 06:00:00,3807.937469765998
2021-01-30 07:00:00,4572.9966423551705
2021-01-30 08:00:00,4932.752467468799
2021-01-30 09:00:00,4603.226535718305
2021-01-30 10:00:00,3876.109066851385
2021-01-30 11:00:00,3111.08446247174
2021-01-30 12:00:00,2720.0985917201133
2021-01-30 13:00:00,2540.713769100661
2021-01-30 14:00:00,2921.1120821487216
2021-01-30 15:00:00,3254.3441087270844
2021-01-30 16:00:00,3586.139379064217
2021-01-30 17:00:00,3832.551056619105
2021-01-30 18:00:00,4062.468212044072
2021-01-30 19:00:00,3876.9150496252128
2021-01-30 20:00:00,3600.4739065563335
2021-01-30 21:00:00,3232.2419199721394
2021-01-30 22:00:00,2776.5646357939863
2021-01-30 23:00:00,2484.59538860516
2021-01-31 00:00:00,2044.2722634446861
